word,cosine_distance
white,0.8964203596115112
young,0.803023099899292
female,0.7749991416931152
busting,0.7047919631004333
supremacist,0.6963906288146973
capitalistic,0.6903812885284424
Older,0.6832292675971985
Hispanic,0.681628942489624
stereotyping,0.6743257641792297
younger,0.6706340312957764
hounds,0.6663521528244019
disempowered,0.6651973128318787
male,0.6607636213302612
uniform,0.6599406003952026
evaporate,0.6557978987693787
suburban,0.6501550674438477
older,0.6496193408966064
wearing,0.6487395763397217
libido,0.6472824811935425
gay,0.6463452577590942
incorrectly,0.6448514461517334
Latino,0.6444748640060425
blackest,0.6436086893081665
featherweight,0.6432820558547974
privileged,0.6379356384277344
infected,0.6349723935127258
globular,0.6348849534988403
Southerners,0.6346981525421143
Mangle,0.6334546804428101
blue,0.6310006976127625
Enslaved,0.6277670860290527
Landlord,0.6273075342178345
nonwhite,0.6271710395812988
oldest,0.6269616484642029
disembarked,0.626181960105896
pregnant,0.6250821948051453
satin,0.6242597699165344
segregated,0.6241337656974792
Juliet,0.6232559084892273
mostly,0.6215600371360779
countertype,0.6212986707687378
schoolhouse,0.6210523843765259
fledge,0.6176308393478394
blacks,0.6148381233215332
Porsche,0.61463463306427
overambitious,0.6133031249046326
DeFazio,0.6130639910697937
clusters,0.6129211187362671
kibitzing,0.612910270690918
underdeveloped,0.6125364303588867
chola,0.6120321154594421
holes,0.6096547842025757
dressed,0.6094059944152832
runaways,0.6083390712738037
documentarians,0.60494065284729
hardworking,0.6032670736312866
neutron,0.6026812791824341
unarmed,0.5998153686523438
Margot,0.5997962355613708
grail,0.5994306802749634
coalesced,0.5990563035011292
disembarking,0.5985586643218994
supremacists,0.597951352596283
dying,0.5979263186454773
masquerading,0.5976828336715698
simpering,0.5972985029220581
Lowndes,0.5967124700546265
red,0.5960723161697388
dress,0.5956463813781738
standing,0.5949809551239014
victimizing,0.5936849117279053
whod,0.592094898223877
clapping,0.5902190804481506
Sikhs,0.5892578959465027
peers,0.587216854095459
pullover,0.5863428115844727
Christian,0.5862859487533569
throwing,0.5858300924301147
python,0.5857617855072021
injured,0.5844215154647827
hoodies,0.5841363668441772
screwdriver,0.5841168761253357
sheltered,0.5839923620223999
integrating,0.5838605761528015
predominately,0.5837278962135315
screaming,0.58369380235672
4x100,0.5828992128372192
Ismael,0.5826687812805176
surrounded,0.5822955965995789
docents,0.5821909308433533
fledglings,0.581937313079834
slaughtering,0.5818060636520386
Jewish,0.5817997455596924
Unsung,0.5816611051559448
billowing,0.5813355445861816
Socs,0.581215500831604
physiques,0.5808359384536743
fawners,0.5804463028907776
observant,0.579643964767456
Sayed,0.5789344310760498
