word,cosine_distance
fanatic,0.9602473974227905
handicap,0.9439489245414734
homosexual,0.9266635179519653
Gabbana,0.920009970664978
discarded,0.9083013534545898
Issey,0.8986492156982422
Belizean,0.8985692262649536
martyrs,0.8974342346191406
gambler,0.8956770896911621
feathered,0.8940203189849854
prisoner,0.8925864696502686
Massoud,0.8918489217758179
Mustafa,0.8904460668563843
Kesha,0.8878857493400574
arched,0.8877714276313782
gowns,0.8873910307884216
stench,0.8860055208206177
Khmer,0.885208010673523
MANOHLA,0.885154664516449
humanlike,0.8841291666030884
congregants,0.8836946487426758
studious,0.8831019401550293
Miyake,0.8830907940864563
Disorder,0.8830772638320923
dusty,0.882118821144104
rowing,0.8818174600601196
creations,0.8815445899963379
Indonesian,0.8809993267059326
supervillain,0.8807170987129211
slur,0.8805439472198486
Yankees,0.8797029852867126
357,0.8794445991516113
walker,0.8790639638900757
bruises,0.8783941268920898
Wertheimer,0.8783241510391235
ornate,0.8778764009475708
congeals,0.8775462508201599
mismatched,0.8769964575767517
Pedals,0.8768982887268066
scattering,0.8766275644302368
amusement,0.8760911226272583
firmly,0.8759994506835938
Monroes,0.875970721244812
knife,0.8759249448776245
commemorates,0.8758929967880249
Haque,0.875337541103363
random,0.8749322891235352
talisman,0.8741703033447266
Agüero,0.874118983745575
jumble,0.8740338087081909
Proenza,0.8739929795265198
Ziaul,0.8735529184341431
tannic,0.8731813430786133
littered,0.8730496168136597
craters,0.8730425834655762
tiptoeing,0.8730071187019348
clumsy,0.8727458715438843
Woolfalk,0.8727129697799683
conversing,0.8721978664398193
billowing,0.872134804725647
skirt,0.8719867467880249
processions,0.8718902468681335
inattention,0.8718274235725403
softly,0.8718000650405884
Tajai,0.8717295527458191
grit,0.8714815378189087
Harambe,0.8713818788528442
neurobehavioral,0.8713251352310181
Jamil,0.8712766170501709
sunglasses,0.8712690472602844
cheek,0.8712247610092163
ceramic,0.871219277381897
dueling,0.8712161779403687
peppered,0.871118426322937
mask,0.8710575699806213
jockey,0.8710018396377563
Dafoe,0.8709695935249329
banners,0.8708170652389526
Olina,0.8707782030105591
volcanic,0.8707064390182495
Mali,0.8706910610198975
swamp,0.8702163696289062
Liow,0.8700428009033203
bloodied,0.8698365688323975
bunched,0.8698151111602783
influencers,0.8698143362998962
painted,0.8696958422660828
heroin,0.86967933177948
weariness,0.8696771860122681
shogunate,0.8695727586746216
rifle,0.8692799806594849
Céline,0.8692259788513184
impostors,0.8690980672836304
lip,0.868864119052887
orchestrating,0.8688043355941772
catches,0.8688040971755981
imagery,0.8686929941177368
gates,0.8682737946510315
asteroids,0.8679382801055908
diarrhea,0.8676238059997559
