word,cosine_distance
outlets,0.8187417387962341
fake,0.7917460203170776
social,0.7588449716567993
agitprop,0.7215562462806702
commiserate,0.7102739810943604
mores,0.7036297917366028
purveying,0.6989010572433472
conferences,0.6976485252380371
medias,0.6966338753700256
network,0.6955789923667908
vibrate,0.6921525597572327
Morgulis,0.6920319199562073
Bashan,0.6902838349342346
senders,0.6887184381484985
captions,0.6856549382209778
news,0.6706123352050781
cognition,0.6635328531265259
outlet,0.6634901165962219
grimmest,0.6622418165206909
disseminated,0.6604779958724976
mammogram,0.655443549156189
Hurriyet,0.6550921201705933
doling,0.6548482179641724
breaking,0.6545777916908264
bracingly,0.6536903977394104
Essentially,0.6460373401641846
Hawleys,0.6459792852401733
Tass,0.6409077644348145
disinvited,0.6406942009925842
channel,0.6368312239646912
articles,0.6365472078323364
commentaries,0.6364659070968628
Vavreck,0.6361953020095825
Pouken,0.6353867053985596
misinformation,0.635161280632019
coms,0.6329497694969177
peep,0.6308430433273315
firestorm,0.6298466920852661
Asch,0.6280386447906494
Liat,0.62618088722229
misrepresentation,0.6259762048721313
posts,0.621195912361145
LexisNexis,0.6200834512710571
frantically,0.6181163787841797
reports,0.6175990104675293
television,0.6150419116020203
AMI,0.6113935708999634
Moreau,0.607463002204895
Edhite,0.6023725271224976
Glimpsing,0.5987468957901001
nailing,0.5979397296905518
Relentless,0.5927044153213501
Facebook,0.5919572114944458
Reluctantly,0.5903865098953247
conference,0.5896733999252319
Jeanette,0.5880157947540283
organizations,0.5879713892936707
networks,0.5873112678527832
baron,0.5856589078903198
Zvezda,0.5839768052101135
Meduza,0.5839210152626038
Duet,0.5832818746566772
channels,0.5824845433235168
tweets,0.5824505686759949
dwells,0.5808322429656982
Touro,0.5808264017105103
Talal,0.5770795345306396
speaking,0.5767315030097961
Thorp,0.5737908482551575
Done,0.5730420351028442
programming,0.5724380612373352
backslapping,0.5695708990097046
Kirtley,0.5695457458496094
accesses,0.5692973136901855
KUNA,0.5678771734237671
connections,0.5678330063819885
Sidewire,0.5648900866508484
alerts,0.5642240047454834
platforms,0.5628005266189575
Greenpeace,0.5621097087860107
opining,0.5608954429626465
Ynet,0.5603549480438232
commenters,0.5587663650512695
speakerphone,0.5587573647499084
cable,0.5586855411529541
clips,0.5580693483352661
SANA,0.557982325553894
KQED,0.5556461215019226
TASS,0.553665280342102
blacklist,0.5517398118972778
hackers,0.5508894920349121
proletariat,0.550828754901886
Root,0.5496153831481934
Nikky,0.5494536757469177
flashed,0.5477182865142822
Shiva,0.5476334691047668
incessant,0.5458136796951294
videos,0.5448805093765259
mainstream,0.5448094010353088
Tablet,0.5446904897689819
