word,cosine_distance
handicap,0.9790413975715637
policeman,0.9602473974227905
homosexual,0.9600768685340881
Gabbana,0.9201644659042358
gambler,0.9146740436553955
Kesha,0.9144318103790283
slur,0.9136874675750732
Monroes,0.9092678427696228
Agüero,0.9065401554107666
firmly,0.9056180715560913
congeals,0.9044784307479858
Hari,0.9028074741363525
Count,0.9021947383880615
hunger,0.9008901715278625
gowns,0.8997910618782043
DSquared2,0.8992733955383301
biologists,0.8981366157531738
Largely,0.8978558778762817
Disorder,0.8976887464523315
fractured,0.8974953293800354
studious,0.8972578048706055
inferiority,0.8966832160949707
martyrs,0.8966754674911499
creations,0.8966147899627686
dishdasha,0.896122395992279
Proenza,0.8950828313827515
absurdity,0.8950107097625732
Wertheimer,0.8949650526046753
prisoner,0.8940572738647461
asteroids,0.8939183354377747
Scattered,0.8938934206962585
dashiki,0.8933528661727905
MANOHLA,0.8931745886802673
Dafoe,0.892292857170105
reassuring,0.8918351531028748
Educating,0.891241192817688
grit,0.8910526633262634
LANDAnger,0.8910207748413086
formidable,0.890611469745636
Yankees,0.8904247879981995
fights,0.8902491927146912
habitable,0.8891146183013916
prim,0.8887064456939697
jumble,0.8886959552764893
tannic,0.8884285688400269
Haque,0.8882079720497131
captive,0.8881824016571045
glamorous,0.8880270719528198
birch,0.8879907131195068
Collective,0.8879574537277222
devout,0.8875888586044312
narrowness,0.8875755071640015
Indonesian,0.8873686790466309
Stefano,0.8871051669120789
Erlichs,0.8869900703430176
telltale,0.8869664669036865
volcanic,0.8868386745452881
thinly,0.8868089914321899
Gascons,0.8866471648216248
paysans,0.8859226703643799
orchestrating,0.8856720328330994
arched,0.8850133419036865
Patch,0.8849843144416809
Crusader,0.8848932385444641
Preminger,0.8847477436065674
gloss,0.8847214579582214
Hermès,0.8845069408416748
WILL,0.8844633102416992
Mustafa,0.8843262195587158
addictive,0.8842923641204834
mohair,0.8842517137527466
Ditched,0.8840429186820984
Farewell,0.8838452100753784
uncontrived,0.8837767839431763
ELDER,0.8836349248886108
fundamentalist,0.8834874033927917
pious,0.8833727836608887
kalpak,0.8833633065223694
rowing,0.8832284212112427
stalles,0.8827866315841675
humanlike,0.8825699090957642
bigotry,0.8825343251228333
decorum,0.8824619650840759
Extreme,0.8823077082633972
tremors,0.8822017908096313
dismayed,0.882156252861023
impresarios,0.8821228742599487
Agen,0.8818310499191284
intercut,0.8817518353462219
Shoulder,0.8816847801208496
anchored,0.8816291093826294
discarded,0.881513237953186
reproduced,0.8814144730567932
hulks,0.8811471462249756
deadlier,0.8810949325561523
cicadas,0.8810510635375977
Pressure,0.8810211420059204
Hyperactivity,0.8810132741928101
wallflower,0.8807769417762756
gays,0.8804705142974854
