word,cosine_distance
homosexual,0.9227186441421509
fanatic,0.9136874675750732
handicap,0.9049543142318726
policeman,0.8805439472198486
masculine,0.8754065036773682
elaborately,0.8724769353866577
Wertheimer,0.8723875284194946
tremors,0.8711458444595337
Willem,0.8698492050170898
dull,0.8689989447593689
keyboard,0.8689883351325989
biologists,0.8687974214553833
emaciated,0.8672971129417419
Hari,0.866462230682373
congeals,0.8663817644119263
untidiness,0.8650486469268799
eccentricity,0.864895761013031
squads,0.8639322519302368
modification,0.8639246225357056
worsened,0.8637633323669434
proposition,0.8633201122283936
modesty,0.862066924571991
resentments,0.8619120121002197
ritual,0.8613612055778503
sulu,0.8608804941177368
shame,0.8604559898376465
aerosol,0.8603789806365967
hunger,0.86021888256073
formidable,0.859575629234314
despair,0.8594076037406921
resilient,0.858986496925354
Bathily,0.8587180376052856
socially,0.8586460947990417
shogunate,0.858586847782135
knight,0.8582735657691956
dissonance,0.8581043481826782
Monroes,0.8580909967422485
obesity,0.857404351234436
Kesha,0.8571249842643738
specialties,0.8570760488510132
wildly,0.8568508625030518
platitudes,0.8567982912063599
Wokoma,0.8553481101989746
helpfully,0.8550375699996948
LANDAnger,0.8547524213790894
Siberian,0.8545438051223755
prisoner,0.8544667959213257
sulfate,0.8543106317520142
reciting,0.8540248870849609
spotter,0.8540245294570923
mentality,0.8538370132446289
fights,0.8530865907669067
Frenchness,0.853035569190979
Sacrifice,0.8527958393096924
clam,0.8527547121047974
rappers,0.8524692058563232
choir,0.8524664640426636
Pakistanis,0.8522006273269653
walker,0.8521338701248169
Faylaq,0.8516553640365601
prescribed,0.8514920473098755
Fijian,0.8513288497924805
adapting,0.8513133525848389
uncontrived,0.8511012196540833
fishy,0.8509432077407837
Anns,0.8509042263031006
discontent,0.8508601188659668
random,0.850779116153717
Bea,0.8506534099578857
Moment,0.8506011962890625
heroes,0.850546658039093
neglect,0.8504518866539001
bureaucracy,0.8501178622245789
gaze,0.850105345249176
disloyalty,0.8499842882156372
serene,0.849850058555603
breadcrumber,0.8498413562774658
Indonesian,0.8497456312179565
Violent,0.8497223258018494
thigh,0.8496369123458862
irresistible,0.8494579792022705
fractured,0.8490095138549805
genitalia,0.8490065336227417
Grazia,0.848929226398468
algae,0.8488763570785522
assemblage,0.8487204313278198
verdant,0.8484861850738525
STORE,0.848341703414917
fundamentalist,0.8482946157455444
Count,0.8476987481117249
oboe,0.8474045395851135
repression,0.847354531288147
Bernadett,0.8471962809562683
arrestee,0.8471783399581909
stubborn,0.8468442559242249
Ticks,0.8466541767120361
complains,0.8466071486473083
Ribs,0.8458033800125122
thinly,0.8456521034240723
filigree,0.845550537109375
