word,cosine_distance
handicap,0.9735522866249084
fanatic,0.9600768685340881
policeman,0.9266635179519653
slur,0.9227186441421509
Monroes,0.911389946937561
Wertheimer,0.9104698896408081
orchestrating,0.9078146815299988
Disorder,0.907179594039917
fights,0.9049513339996338
rowing,0.9039183855056763
Kesha,0.9028464555740356
Hari,0.9003663659095764
Bernadett,0.9000675678253174
tremors,0.8979532718658447
fundamentalist,0.8968706727027893
Agüero,0.8965408802032471
Indonesian,0.8962720632553101
creations,0.8960630893707275
Stefano,0.895958662033081
asteroids,0.8952882885932922
rabbis,0.8950291275978088
Educating,0.8936796188354492
Proenza,0.893372654914856
Wokoma,0.8931338787078857
discontent,0.8917255401611328
platitudes,0.8915508985519409
bias,0.8912730813026428
fractured,0.8912616968154907
Collective,0.8908579349517822
hatred,0.8907901048660278
voices,0.8905216455459595
LANDAnger,0.8898072242736816
Ticks,0.8895559310913086
neurobehavioral,0.889285683631897
Gabbana,0.8891485929489136
formidable,0.8890173435211182
gays,0.887972354888916
humanlike,0.8876118063926697
countered,0.8873089551925659
bravura,0.8870311975479126
Ditched,0.8867968320846558
keyboard,0.8866448402404785
pious,0.8865153789520264
middlebrow,0.8862905502319336
congeals,0.8862609267234802
DSquared2,0.886247992515564
Belichick,0.8862003684043884
biologists,0.8856789469718933
heretical,0.8850671052932739
vocals,0.8848588466644287
slanted,0.8848363161087036
insulting,0.8845722675323486
megaliths,0.8844065070152283
gambler,0.8843369483947754
segments,0.8842935562133789
MRAP,0.8837612867355347
Hermès,0.8835452795028687
stacking,0.8831802606582642
walker,0.8830153942108154
weariness,0.8828556537628174
Choo,0.8828361630439758
steely,0.8824461102485657
deadlier,0.8817663788795471
Haque,0.881744921207428
Roxburgh,0.8816637992858887
Loewen,0.8814846277236938
Mustafa,0.8814795613288879
Crusader,0.8814505338668823
studious,0.8808515071868896
thinly,0.8808413743972778
Ziaul,0.8806036114692688
eccentricity,0.8805953860282898
leggings,0.8802547454833984
bigotry,0.8801952600479126
wily,0.8800179958343506
priests,0.8799005746841431
Count,0.8798409104347229
Ahmadi,0.8796828985214233
Enver,0.8796722292900085
dashiki,0.8794652819633484
refrains,0.878817081451416
Claudio,0.8787257671356201
kalpak,0.8784788846969604
reciting,0.878122866153717
inattention,0.878031313419342
reassuring,0.8779116868972778
fringe,0.8778494000434875
stirring,0.8775103092193604
Maya,0.8773944973945618
uncontrived,0.8773806095123291
devotion,0.8771061301231384
narrowness,0.8770005106925964
neutrinos,0.8769806623458862
patriarchal,0.8769619464874268
mixture,0.8769012689590454
Larressingle,0.8768097758293152
strife,0.8767238259315491
preaching,0.8766259551048279
loudly,0.8765900135040283
Bisexual,0.8762763142585754
