word,cosine_distance
fanatic,0.9790413975715637
homosexual,0.9735522866249084
policeman,0.9439489245414734
Gabbana,0.9182311296463013
Monroes,0.9179450273513794
Agüero,0.9138967394828796
Hari,0.9130785465240479
dashiki,0.9115105271339417
congeals,0.9114686250686646
gowns,0.9105103015899658
studious,0.9103804230690002
gambler,0.9099383354187012
Disorder,0.909808337688446
Collective,0.9094480872154236
Kesha,0.9092909097671509
Largely,0.9087399840354919
dishdasha,0.9081084132194519
creations,0.9063746333122253
slur,0.9049543142318726
Pressure,0.9043409824371338
Stefano,0.9040545225143433
Proenza,0.9036246538162231
glamorous,0.9033719301223755
Wertheimer,0.9024295806884766
middlebrow,0.9018692374229431
Crusader,0.9016382694244385
gloss,0.9012606143951416
slanted,0.9008824825286865
tannic,0.8998751044273376
chronically,0.8990921974182129
Count,0.8990660905838013
Ditched,0.8989970088005066
absurdity,0.8982110023498535
mohair,0.8979520201683044
rowing,0.8976335525512695
LANDAnger,0.8971421718597412
Anatomys,0.897057294845581
WILL,0.896977424621582
hunger,0.8965815305709839
reciting,0.8964091539382935
Acra,0.896344780921936
staircases,0.8962303400039673
diarrhea,0.8962140679359436
fractured,0.896072268486023
rapeseed,0.8958094120025635
capillaries,0.8956482410430908
vocals,0.8954060077667236
Paola,0.895089864730835
Scattered,0.8949627876281738
DSquared2,0.8948521614074707
thinly,0.8947843313217163
Educating,0.8947713375091553
platitudes,0.8947227001190186
ELDER,0.8945007920265198
teased,0.8944902420043945
Hermès,0.8942484855651855
feeding,0.8940719962120056
neurobehavioral,0.8939616680145264
manipulated,0.8938286304473877
mismatched,0.8937877416610718
uncluttered,0.8935589790344238
crossword,0.8935036063194275
bacon,0.8934118151664734
Lala,0.8931638598442078
Shoulder,0.8929354548454285
Ticks,0.8928807973861694
arched,0.892859935760498
humanlike,0.8927629590034485
Bernadett,0.8924431800842285
asteroids,0.8920999765396118
warriors,0.8918354511260986
firmly,0.891808032989502
jumble,0.8915456533432007
fights,0.8914282321929932
Minerva,0.8913877010345459
tender,0.8911734819412231
silk,0.8911646604537964
formidable,0.8911384344100952
martyrs,0.8910245299339294
rabbis,0.8910017609596252
Erlichs,0.8909651637077332
stacking,0.8909474611282349
habitable,0.8908408284187317
walker,0.8908013105392456
countered,0.8907581567764282
finely,0.8904662728309631
Yamaguchi,0.8903517127037048
Farewell,0.8903492093086243
DAILY,0.8901820778846741
fundamentalist,0.8901053071022034
applying,0.8898483514785767
Bisexual,0.8897632956504822
segments,0.8896822929382324
intercut,0.8892953991889954
skintight,0.8890925645828247
HD,0.8889514803886414
disseminating,0.8888910412788391
Asians,0.8888593912124634
Indonesian,0.8888527154922485
anchored,0.8888412117958069
