tweet_id,created_at,text
1060452111639445504,2018-11-08 08:41:00,DEVELOPING: Massive police response after reports of shooting at California nightclub https://t.co/awRowfsPJ6
1060449595300478976,2018-11-08 08:31:00,".@senatemajldr Mitch McConnell said Wednesday that Democrats and Republicans will have to address health care ""on a bipartisan basis"" after Democrats took control of the House on Election Day. https://t.co/4ZnRX8kiCu"
1060447078583799808,2018-11-08 08:21:00,"Joseph diGenova on who could replace AG Sessions: ""@ChrisChristie would have the full confidence of @POTUS, which is to me, what was missing from the relationship with Jeff Sessions."" https://t.co/SfA26v0ock https://t.co/GGr0Vxtlgg"
1060443303534084096,2018-11-08 08:06:00,Dem @GavinNewsom's wild victory party in LA features controversial rapper @common https://t.co/V9SSpxOUH7
1060442045641355265,2018-11-08 08:01:00,".@jasoninthehouse: “Attorney General @jeffsessions is a patriot. He was a good Republican, and I applaud him for his service. The problem I had with him as attorney general is he simply didn’t do his job.” https://t.co/dt20ToQwDz https://t.co/zgncAU8Aaq"
1060439528782155776,2018-11-08 07:51:00,"Devotees lit earthen lamps in Ayodhya, India as part of Diwali celebrations, also known as a festival of lights, on Tuesday night. The northern Indian city broke a Guinness World record with the display. https://t.co/I8HMXyg4eu"
1060437012250087425,2018-11-08 07:41:00,".@TGowdySC on Jeff Sessions resigning: ""It was going to happen...He's been a proverbial dead man walking for several months now."" https://t.co/SfA26v0ock https://t.co/2slqNwNZnP"
1060434495814328325,2018-11-08 07:31:00,Mob chants threats outside @TuckerCarlson’s DC home https://t.co/IJE8m5gjWi
1060431978875371520,2018-11-08 07:21:00,".@TuckerCarlson: ""Supporting marriage and children is the best, maybe the only way, for Republicans or any of us to save the country."" #Tucker https://t.co/Vkxn0UUtr8"
1060430721309966336,2018-11-08 07:16:00,.@KennedyNation: Dems in 2020 better without Nancy https://t.co/54vTCiffG4
1060429462221832192,2018-11-08 07:11:00,Battleground-state Dems who opposed Kavanaugh all defeated https://t.co/guqMSVjd74
1060426945928814592,2018-11-08 07:01:00,".@Jim_Jordan on his run for House GOP leader: “We have to match [@POTUS’s] intensity, that’s what I want to do. If I’m given the opportunity to lead our conference, I’ll do that.” https://t.co/Ybecji7P4y https://t.co/WpTBn4PPOr"
1060424429371453441,2018-11-08 06:51:00,.@senatemajldr: Dem Votes Against Kavanaugh Were a 'Godsend' to GOP in Midterms https://t.co/ietr8sP4EQ
1060421912659156992,2018-11-08 06:41:00,.@marcthiessen: “There’s lots of things that Democrats could take a stand on that they find inherently unacceptable. There’s nothing wrong with a wall.” @foxnewsnight https://t.co/7bTG2wji0G
1060420654258827265,2018-11-08 06:36:00,".@DarrellIssa on the Mueller probe: ""Two years is a long time to look for a crime you can't prove."" https://t.co/6UTwyCpZRV https://t.co/xqoEUHtdpg"
1060419396051423232,2018-11-08 06:31:00,"Second teen dies of gunshot wound after Oklahoma mom's rampage, authorities say https://t.co/VUQxsa3mq3"
1060416879376789506,2018-11-08 06:21:00,.@marcthiessen: “The president today made very clear that he wants to cut deals with the Democrats. And quite frankly the test is whether the Democrats want to cut deals with him.” @foxnewsnight https://t.co/uy0HaxSBME
1060414362744107009,2018-11-08 06:11:00,"Florida Highway Patrol cruiser hits 142 mph in pursuit, catches on fire https://t.co/GqWKI45AAm"
1060411846224621568,2018-11-08 06:01:00,Democratic strategist @LeslieMarshall: “What we need is not a wall — and not a wall that we can’t afford — but comprehensive immigration reform.” @foxnewsnight https://t.co/7YFuFp838O
1060409329453387776,2018-11-08 05:51:00,"Sex offender gets 22 years after missing boy, 14, found in his room at halfway house, authorities say https://t.co/sDd0VQzob4"
